code,name,credits,meta
CME365,Renewable Energy Technologies,3,21$CB$6^7^8
OME354,Applied Design Thinking,3,21$CB$6^7^8
MF3003,Reverse Engineering,3,21$CB$6^7^8
OPR351,Sustainable Manufacturing,3,21$CB$6^7^8
AU3791,Electric and Hybrid Vehicles,3,21$CB$6^7^8
OAS352,Space Engineering,3,21$CB$6^7^8
OIM351,Industrial Management,3,21$CB$6^7^8
OIE354,Quality Engineering,3,21$CB$6^7^8
OSF351,Fire Safety Engineering,3,21$CB$6^7^8
OML351,Introduction to Non-destructive Testing,3,21$CB$6^7^8
OMR351,Mechatronics,3,21$CB$6^7^8
ORA351,Foundation of Robotics,3,21$CB$6^7^8
OAE352,Fundamentals of Aeronautical Engineering,3,21$CB$6^7^8
OGI351,Remote Sensing Concepts,3,21$CB$6^7^8
OAI351,Urban Agriculture,3,21$CB$6^7^8
OEN351,Drinking Water Supply and Treatment,3,21$CB$6^7^8
OEE352,Electric Vehicle Technology,3,21$CB$6^7^8
OEI353,Introduction to PLC Programming,3,21$CB$6^7^8
OCH351,Nano Technology,3,21$CB$6^7^8
OCH352,Functional Materials,3,21$CB$6^7^8
OFD352,Traditional Indian Foods,3,21$CB$6^7^8
OFD353,Introduction to Food Processing,3,21$CB$6^7^8
OPY352,IPR for Pharma Industry,3,21$CB$6^7^8
OTT351,Basics of Textile Finishing,3,21$CB$6^7^8
OTT352,Industrial Engineering for Garment Industry,3,21$CB$6^7^8
OTT353,Basics of Textile Manufacture,3,21$CB$6^7^8
OPE351,Introduction to Petroleum Refining and Petrochemicals,3,21$CB$6^7^8
CPE334,Energy Conservation and Management,3,21$CB$6^7^8
OPT351,Basics of Plastics Processing,3,21$CB$6^7^8
OEC351,Signals and Systems,3,21$CB$6^7^8
OEC352,Fundamentals of Electronic Devices and Circuits,3,21$CB$6^7^8
CBM348,Foundation Skills in Integrated Product Development,3,21$CB$6^7^8
CBM333,Assistive Technology,3,21$CB$6^7^8
OMA352,Operations Research,3,21$CB$6^7^8
OMA353,Algebra and Number Theory,3,21$CB$6^7^8
OMA354,Linear Algebra,3,21$CB$6^7^8
